title,address,meters,zone,direction,link,price,num,update_date,other
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
精装修 带车位 拎包入住，看房方便，房东诚心出租,金都夏宫,90,4室1厅,南,https://hz.lianjia.com/zufang/103102737707.html,3000,0,2018.09.08 ,临平租房/低楼层(共19层)/暂无数据
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
精装修 带车位 拎包入住，看房方便，房东诚心出租,金都夏宫,90,4室1厅,南,https://hz.lianjia.com/zufang/103102737707.html,3000,0,2018.09.08 ,临平租房/低楼层(共19层)/暂无数据
白马湖小区白鹤苑5居室 06卧,白马湖小区白鹤苑,11.8,5室1厅,西,https://hz.lianjia.com/zufang/HZ0004809189.html,1790,0,2018.08.12 ,白马湖租房/中楼层(共28层)/暂无数据
新西湖小镇 2室1厅 2300元,新西湖小镇,89,2室1厅,北,https://hz.lianjia.com/zufang/103102750797.html,2300,0,2018.09.07 ,闲林租房/低楼层(共24层)/2012年建板楼
西溪蓝海 1室1厅 3100元,西溪蓝海,40,1室1厅,南,https://hz.lianjia.com/zufang/103102736273.html,3100,0,2018.09.05 ,未来科技城租房/中楼层(共23层)/2017年建板楼
